@id,rdf:type,skos:prefLabel,skos:editorialNote,skos:broader,skos:topConceptOf,skos:inScheme,rdfs:label,rdfs:comment,pav:version
sdlc:scheme,skos:ConceptScheme,Software Development Lifecycle Document Types,,,,,Software Development Lifecycle Document Types,Documents typically created throughout software development lifecycle.,1.0.0
sdlc:sdlc,skos:Concept,Software Development Lifecycle Document,,,sdlc:scheme,sdlc:scheme,,,
sdlc:requirements,skos:Concept,Requirements,,sdlc:sdlc,,sdlc:scheme,,,
sdlc:vision,skos:Concept,Vision,Adopted from Competitive Engineering by Tom Gilb.,sdlc:requirements,,sdlc:scheme,,,
sdlc:function_requirements,skos:Concept,Function Requirements,Adopted from Competitive Engineering by Tom Gilb.,sdlc:requirements,,sdlc:scheme,,,
sdlc:performance_requirements,skos:Concept,Performance Requirements,Adopted from Competitive Engineering by Tom Gilb.,sdlc:requirements,,sdlc:scheme,,,
sdlc:resource_requirements,skos:Concept,Resource Requirements,Adopted from Competitive Engineering by Tom Gilb.,sdlc:requirements,,sdlc:scheme,,,
sdlc:design_constraints,skos:Concept,Design Constraints,Adopted from Competitive Engineering by Tom Gilb.,sdlc:requirements,,sdlc:scheme,,,
sdlc:condition_constraints,skos:Concept,Condition Constraints,Adopted from Competitive Engineering by Tom Gilb.,sdlc:requirements,,sdlc:scheme,,,
sdlc:functional_requirements,skos:Concept,Functional Requirements,,sdlc:requirements,,sdlc:scheme,,,
sdlc:non_functional_requirements,skos:Concept,Non-Functional Requirements,,sdlc:requirements,,sdlc:scheme,,,
sdlc:architecturally_significant_requirements,skos:Concept,Architecturally Significant Requirements,Adopted from Architecture Tradeoff Analysis Method by the Software Engineering Institute at the Carnegie Mellon University.,sdlc:requirements,,sdlc:scheme,,,
sdlc:threat_model_and_risk_assessment,skos:Concept,Threat Model and Risk Assessment,,sdlc:requirements,,sdlc:scheme,,,
sdlc:service_level_agreement,skos:Concept,Service Level Agreement,,sdlc:requirements,,sdlc:scheme,,,
sdlc:stakeholder_map,skos:Concept,Stakeholder Map,,sdlc:requirements,,sdlc:scheme,,,
sdlc:concept_map,skos:Concept,Concept Map,,sdlc:requirements,,sdlc:scheme,,,
sdlc:design,skos:Concept,Design,,sdlc:sdlc,,sdlc:scheme,,,
sdlc:design_ideas,skos:Concept,Design Ideas,Adopted from Competitive Engineering by Tom Gilb.,sdlc:design,,sdlc:scheme,,,
sdlc:solution_design_document,skos:Concept,Solution Design Document,,sdlc:design,,sdlc:scheme,,,
sdlc:software_design_document,skos:Concept,Software Design Document,,sdlc:design,,sdlc:scheme,,,
sdlc:architectural_decision,skos:Concept,Architectural Decision,,sdlc:design,,sdlc:scheme,,,
sdlc:approved_component_list,skos:Concept,Approved Components List,,sdlc:design,,sdlc:scheme,,,
sdlc:data_model,skos:Concept,Data Model,,sdlc:design,,sdlc:scheme,,,
sdlc:interface_contract,skos:Concept,Interface Contract,,sdlc:design,,sdlc:scheme,,,
sdlc:development,skos:Concept,Development,,sdlc:sdlc,,sdlc:scheme,,,
sdlc:new_starter_guide,skos:Concept,New Starter Guide,,sdlc:development,,sdlc:scheme,,,
sdlc:development_environment_setup_guide,skos:Concept,Development Environment Setup Guide,,sdlc:development,,sdlc:scheme,,,
sdlc:branching_strategy,skos:Concept,Branching Strategy,,sdlc:development,,sdlc:scheme,,,
sdlc:naming_conventions,skos:Concept,Naming Conventions,,sdlc:development,,sdlc:scheme,,,
sdlc:readme,skos:Concept,Readme,,sdlc:development,,sdlc:scheme,,,
sdlc:testing,skos:Concept,Testing,,sdlc:sdlc,,sdlc:scheme,,,
sdlc:testing_strategy,skos:Concept,Testing Strategy,,sdlc:testing,,sdlc:scheme,,,
sdlc:performance_testing_process,skos:Concept,Performance Testing Process,,sdlc:testing,,sdlc:scheme,,,
sdlc:security_testing_process,skos:Concept,Security Testing Process,,sdlc:testing,,sdlc:scheme,,,
sdlc:deployment,skos:Concept,Deployment,,sdlc:sdlc,,sdlc:scheme,,,
sdlc:change_management_process,skos:Concept,Change Management Process,,sdlc:deployment,,sdlc:scheme,,,
sdlc:security_policy_exceptions,skos:Concept,Security Policy Exceptions,,sdlc:deployment,,sdlc:scheme,,,
sdlc:operation,skos:Concept,Operation,,sdlc:sdlc,,sdlc:scheme,,,
sdlc:runbook,skos:Concept,Runbook,,sdlc:operation,,sdlc:scheme,,,
sdlc:post_incident_review,skos:Concept,Post Incident Review,,sdlc:operation,,sdlc:scheme,,,
sdlc:disaster_recovery_and_business_continuity_plan,skos:Concept,Disaster Recovery and Business Continuity Plan,,sdlc:operation,,sdlc:scheme,,,
sdlc:security_incident_response_process,skos:Concept,Security Incident Response Process,,sdlc:operation,,sdlc:scheme,,,
sdlc:security_vulnerability_management_process,skos:Concept,Security Vulnerability Management Process,,sdlc:operation,,sdlc:scheme,,,
sdlc:retirement,skos:Concept,Retirement,,sdlc:sdlc,,sdlc:scheme,,,
sdlc:end_of_life_policy,skos:Concept,End of Life Policy,,sdlc:retirement,,sdlc:scheme,,,
